model,term,sumsq,meansq,NumDF,DenDF,statistic,p.value,
gpt5.1,occlusion,284.3760671,284.3760671,1,114.986686,35.59206808,2.75E-08,***
gpt5.1,distractor,335.890033,335.890033,1,114.9866333,42.03947626,2.33E-09,***
gpt5.1,reasoning,4757.741139,1585.913713,3,2203.16113,198.4905039,6.09E-114,***
gpt5.1,occlusion:distractor,37.8328809,37.8328809,1,114.9866333,4.735104773,0.031598638,*
gpt5.1,occlusion:reasoning,440.8300485,146.9433495,3,2203.16113,18.39120202,8.75E-12,***
gpt5.1,distractor:reasoning,229.7866413,76.59554711,3,2203.041041,9.586580035,2.74E-06,***
gpt5.1,occlusion:distractor:reasoning,16.0424871,5.347495699,3,2203.041042,0.669284279,0.570873516,
,,,,,,,,
gpt5.2,occlusion,288.8661875,288.8661875,1,115.2613922,32.82593268,8.18E-08,***
gpt5.2,distractor,393.9115838,393.9115838,1,115.2596276,44.76299301,8.42E-10,***
gpt5.2,reasoning,4313.023137,1437.674379,3,2208.091538,163.373231,1.22E-95,***
gpt5.2,occlusion:distractor,36.42384528,36.42384528,1,115.2596276,4.139102272,0.044198444,*
gpt5.2,occlusion:reasoning,277.1188203,92.37294011,3,2208.091538,10.49699842,7.44E-07,***
gpt5.2,distractor:reasoning,210.5302086,70.17673621,3,2208.089982,7.974684882,2.75E-05,***
gpt5.2,occlusion:distractor:reasoning,7.424386117,2.474795372,3,2208.089982,0.281228714,0.838984672,
,,,,,,,,
gemini2.5-flash,occlusion,938.436659,938.436659,1,115.8288416,76.11248473,2.30E-14,***
gemini2.5-flash,distractor,54.6416809,54.6416809,1,115.8288416,4.431747272,0.037437591,*
gemini2.5-flash,reasoning,3782.79875,1260.932917,3,2032.225825,102.2687429,1.17E-61,***
gemini2.5-flash,occlusion:distractor,0.217481518,0.217481518,1,115.8288416,0.017638973,0.89457268,
gemini2.5-flash,occlusion:reasoning,675.8647172,225.2882391,3,2032.225825,18.27214175,1.07E-11,***
gemini2.5-flash,distractor:reasoning,19.32563571,6.44187857,3,2032.225825,0.522472539,0.666849913,
gemini2.5-flash,occlusion:distractor:reasoning,79.15316066,26.38438689,3,2032.225825,2.139921991,0.093230151,.
,,,,,,,,
gemini2.5-pro,occlusion,520.6353571,520.6353571,1,115.7107849,53.44424739,3.72E-11,***
gemini2.5-pro,distractor,150.3139393,150.3139393,1,115.7106853,15.43002266,0.000146038,***
gemini2.5-pro,reasoning,3329.733651,1109.911217,3,2173.131217,113.9345779,1.61E-68,***
gemini2.5-pro,occlusion:distractor,1.609869174,1.609869174,1,115.7108349,0.165256249,0.685113503,
gemini2.5-pro,occlusion:reasoning,124.9837274,41.66124246,3,2172.940412,4.276608797,0.005101474,**
gemini2.5-pro,distractor:reasoning,29.48451023,9.828170077,3,2172.924623,1.008881064,0.387751082,
gemini2.5-pro,occlusion:distractor:reasoning,21.7848942,7.261631401,3,2173.075914,0.745420801,0.524965159,
,,,,,,,,
gemini3-flash,occlusion,55.12802756,55.12802756,1,115.9934308,6.932550527,0.009617191,**
gemini3-flash,distractor,44.19668458,44.19668458,1,115.9934308,5.557894279,0.020072409,*
gemini3-flash,reasoning,128.6907744,42.89692479,3,2216.033877,5.394444746,0.001067396,**
gemini3-flash,occlusion:distractor,4.427365257,4.427365257,1,115.9934308,0.556757329,0.457079294,
gemini3-flash,occlusion:reasoning,245.1982523,81.73275076,3,2216.033877,10.2781915,1.02E-06,***
gemini3-flash,distractor:reasoning,120.0180596,40.00601988,3,2216.033877,5.030902909,0.001778648,**
gemini3-flash,occlusion:distractor:reasoning,58.19823761,19.39941254,3,2216.033877,2.43954688,0.062696085,.
,,,,,,,,
gemini3-pro,occlusion,39.67080193,39.67080193,1,115.7887811,6.468251336,0.012300401,*
gemini3-pro,distractor,1.073967308,1.073967308,1,115.783649,0.175108395,0.676386318,
gemini3-pro,reasoning,1505.447774,1505.447774,1,1049.896415,245.4604924,7.13E-50,***
gemini3-pro,occlusion:distractor,0.115827482,0.115827482,1,115.7836297,0.018885458,0.890934061,
gemini3-pro,occlusion:reasoning,9.049193769,9.049193769,1,1049.884321,1.475454411,0.224760199,
gemini3-pro,distractor:reasoning,0.230716839,0.230716839,1,1049.851847,0.037617957,0.84624982,
gemini3-pro,occlusion:distractor:reasoning,0.360129117,0.360129117,1,1049.864555,0.058718391,0.808580491,
