model,term,sumsq,meansq,NumDF,DenDF,statistic,p.value,
gpt5.1,occlusion,357.2101759,357.2101759,1,115.5661816,41.16358888,3.19E-09,***
gpt5.1,distractor,339.7804119,339.7804119,1,115.5661816,39.15504689,6.85E-09,***
gpt5.1,reasoning,4968.429233,1656.143078,3,2246.796481,190.8478464,3.05E-110,***
gpt5.1,occlusion:distractor,37.53700858,37.53700858,1,115.5661816,4.325627021,0.039753808,*
gpt5.1,occlusion:reasoning,519.7576622,173.2525541,3,2246.796481,19.96498809,9.05E-13,***
gpt5.1,distractor:reasoning,191.7371102,63.91237008,3,2246.796481,7.365026822,6.55E-05,***
gpt5.1,occlusion:distractor:reasoning,29.8807808,9.960260266,3,2246.796481,1.147783816,0.328431521,
,,,,,,,,
gpt5.2,occlusion,368.1180126,368.1180126,1,115.8081912,38.65675651,8.25E-09,***
gpt5.2,distractor,394.2290326,394.2290326,1,115.8056825,41.39872322,2.91E-09,***
gpt5.2,reasoning,4574.335155,1524.778385,3,2247.982752,160.1198114,4.65E-94,***
gpt5.2,occlusion:distractor,36.00681585,36.00681585,1,115.8056825,3.781142637,0.054258158,.
gpt5.2,occlusion:reasoning,357.6924091,119.230803,3,2247.982752,12.52064817,4.05E-08,***
gpt5.2,distractor:reasoning,182.6452407,60.88174689,3,2247.982926,6.393305365,0.000260339,***
gpt5.2,occlusion:distractor:reasoning,17.1636633,5.721221102,3,2247.982926,0.600796059,0.614485317,
,,,,,,,,
gemini2.5-flash,occlusion,938.436659,938.436659,1,115.8288416,76.11248473,2.30E-14,***
gemini2.5-flash,distractor,54.6416809,54.6416809,1,115.8288416,4.431747272,0.037437591,*
gemini2.5-flash,reasoning,3782.79875,1260.932917,3,2032.225825,102.2687429,1.17E-61,***
gemini2.5-flash,occlusion:distractor,0.217481518,0.217481518,1,115.8288416,0.017638973,0.89457268,
gemini2.5-flash,occlusion:reasoning,675.8647172,225.2882391,3,2032.225825,18.27214175,1.07E-11,***
gemini2.5-flash,distractor:reasoning,19.32563571,6.44187857,3,2032.225825,0.522472539,0.666849913,
gemini2.5-flash,occlusion:distractor:reasoning,79.15316066,26.38438689,3,2032.225825,2.139921991,0.093230151,.
,,,,,,,,
gemini2.5-pro,occlusion,520.6353571,520.6353571,1,115.7107849,53.44424739,3.72E-11,***
gemini2.5-pro,distractor,150.3139393,150.3139393,1,115.7106853,15.43002266,0.000146038,***
gemini2.5-pro,reasoning,3329.733651,1109.911217,3,2173.131217,113.9345779,1.61E-68,***
gemini2.5-pro,occlusion:distractor,1.609869174,1.609869174,1,115.7108349,0.165256249,0.685113503,
gemini2.5-pro,occlusion:reasoning,124.9837274,41.66124246,3,2172.940412,4.276608797,0.005101474,**
gemini2.5-pro,distractor:reasoning,29.48451023,9.828170077,3,2172.924623,1.008881064,0.387751082,
gemini2.5-pro,occlusion:distractor:reasoning,21.7848942,7.261631401,3,2173.075914,0.745420801,0.524965159,
,,,,,,,,
gemini3-flash,occlusion,55.12802756,55.12802756,1,115.9934308,6.932550527,0.009617191,**
gemini3-flash,distractor,44.19668458,44.19668458,1,115.9934308,5.557894279,0.020072409,*
gemini3-flash,reasoning,128.6907744,42.89692479,3,2216.033877,5.394444746,0.001067396,**
gemini3-flash,occlusion:distractor,4.427365257,4.427365257,1,115.9934308,0.556757329,0.457079294,
gemini3-flash,occlusion:reasoning,245.1982523,81.73275076,3,2216.033877,10.2781915,1.02E-06,***
gemini3-flash,distractor:reasoning,120.0180596,40.00601988,3,2216.033877,5.030902909,0.001778648,**
gemini3-flash,occlusion:distractor:reasoning,58.19823761,19.39941254,3,2216.033877,2.43954688,0.062696085,.
,,,,,,,,
gemini3-pro,occlusion,39.67080193,39.67080193,1,115.7887811,6.468251336,0.012300401,*
gemini3-pro,distractor,1.073967308,1.073967308,1,115.783649,0.175108395,0.676386318,
gemini3-pro,reasoning,1505.447774,1505.447774,1,1049.896415,245.4604924,7.13E-50,***
gemini3-pro,occlusion:distractor,0.115827482,0.115827482,1,115.7836297,0.018885458,0.890934061,
gemini3-pro,occlusion:reasoning,9.049193769,9.049193769,1,1049.884321,1.475454411,0.224760199,
gemini3-pro,distractor:reasoning,0.230716839,0.230716839,1,1049.851847,0.037617957,0.84624982,
gemini3-pro,occlusion:distractor:reasoning,0.360129117,0.360129117,1,1049.864555,0.058718391,0.808580491,
