model,,estimate,std.error,statistic,df,p.value,
gpt5.1,(Intercept),12.03575567,0.185006746,6.51E+01,84.24745225,8.48E-74,***
gpt5.1,occlusion1,-1.094089003,0.183390165,-5.965908823,114.986686,2.75E-08,***
gpt5.1,distractor1,-1.189062378,0.183390143,-6.483785642,114.9866333,2.33E-09,***
gpt5.1,reasoning1,-2.347093509,0.100866325,-2.33E+01,2202.810632,2.84E-107,***
gpt5.1,reasoning2,0.096600681,0.10255645,0.941926921,2204.672511,0.346333254,
gpt5.1,reasoning3,1.145772499,0.101324095,11.30799633,2202.756295,7.36E-29,***
gpt5.1,occlusion1:distractor1,0.399062378,0.183390143,2.176029589,114.9866333,0.031598638,*
gpt5.1,occlusion1:reasoning1,0.728760175,0.100866325,7.225009677,2202.810632,6.87E-13,***
gpt5.1,occlusion1:reasoning2,-0.091600681,0.10255645,-0.893173284,2204.67251,0.371861865,
gpt5.1,occlusion1:reasoning3,-0.364105832,0.101324095,-3.593477254,2202.756295,0.000333454,***
gpt5.1,distractor1:reasoning1,0.505506878,0.100866182,5.011658669,2202.738568,5.83E-07,***
gpt5.1,distractor1:reasoning2,-0.082545373,0.102555948,-0.804881383,2204.434042,0.420974931,
gpt5.1,distractor1:reasoning3,-0.349896002,0.101323659,-3.453250736,2202.54061,0.000564338,***
gpt5.1,occlusion1:distractor1:reasoning1,0.041159789,0.100866182,0.408063319,2202.738568,0.683266849,
gpt5.1,occlusion1:distractor1:reasoning2,0.052545373,0.102555948,0.512358125,2204.434043,0.608451721,
gpt5.1,occlusion1:distractor1:reasoning3,-0.143437332,0.101323659,-1.41563513,2202.54061,0.157023743,
,,,,,,,
gpt5.2,(Intercept),13.2478284,1.248991178,10.60682304,4.130026152,0.000377655,***
gpt5.2,occlusion1,-0.966995067,0.168777955,-5.729391999,115.2613922,8.18E-08,***
gpt5.2,distractor1,-1.129207109,0.168777304,-6.690515153,115.2596276,8.42E-10,***
gpt5.2,reasoning1,-2.286011022,0.105726737,-21.62188183,2208.00856,3.36E-94,***
gpt5.2,reasoning2,0.30051405,0.106996006,2.808647362,2208.703549,0.005018765,**
gpt5.2,reasoning3,1.060890251,0.106418026,9.96908412,2208.011163,6.30E-23,***
gpt5.2,occlusion1:distractor1,0.343373775,0.168777304,2.034478378,115.2596276,0.044198444,*
gpt5.2,occlusion1:reasoning1,0.588511022,0.105726737,5.566340518,2208.00856,2.92E-08,***
gpt5.2,occlusion1:reasoning2,-0.141347384,0.106996006,-1.321052896,2208.703549,0.18662057,
gpt5.2,occlusion1:reasoning3,-0.261723584,0.106418026,-2.459391464,2208.011163,0.013993451,*
gpt5.2,distractor1:reasoning1,0.500861281,0.105725642,4.737368064,2208.007292,2.30E-06,***
gpt5.2,distractor1:reasoning2,-0.203752257,0.106995142,-1.904313165,2208.699809,0.056999222,.
gpt5.2,distractor1:reasoning3,-0.25120555,0.106417638,-2.360563111,2208.009438,0.018333699,*
gpt5.2,occlusion1:distractor1:reasoning1,0.034972053,0.105725642,0.330781179,2208.007292,0.740841164,
gpt5.2,occlusion1:distractor1:reasoning2,-0.003747743,0.106995142,-0.035027227,2208.699809,0.972061196,
gpt5.2,occlusion1:distractor1:reasoning3,-0.089627784,0.106417638,-8.42E-01,2208.009438,0.399752245,
,,,,,,,
gemini2.5-flash,(Intercept),10.24391396,0.153679078,6.67E+01,115.8288112,3.14E-94,***
gemini2.5-flash,occlusion1,-1.340734214,0.153679077,-8.724246943,115.8288416,2.30E-14,***
gemini2.5-flash,distractor1,-0.32352082,0.153679077,-2.105171554,115.8288416,0.037437591,*
gemini2.5-flash,reasoning1,2.583007579,0.150437172,17.17000891,2049.236061,7.65E-62,***
gemini2.5-flash,reasoning2,-1.180036108,0.128257925,-9.200492715,2028.904417,8.59E-20,***
gemini2.5-flash,reasoning3,-0.480754438,0.128399391,-3.744211211,2027.158662,0.000186006,***
gemini2.5-flash,occlusion1:distractor1,-0.020410394,0.153679077,-0.132811795,115.8288416,0.89457268,
gemini2.5-flash,occlusion1:reasoning1,1.069920892,0.150437172,7.112077952,2049.236061,1.57E-12,***
gemini2.5-flash,occlusion1:reasoning2,-0.421158095,0.128257925,-3.283680866,2028.904417,0.001042027,**
gemini2.5-flash,occlusion1:reasoning3,-0.527856016,0.128399391,-4.111047675,2027.158662,4.10E-05,***
gemini2.5-flash,distractor1:reasoning1,0.062069494,0.150437172,0.412594129,2049.236061,0.679947164,
gemini2.5-flash,distractor1:reasoning2,-0.143904653,0.128257925,-1.121994236,2028.904417,0.261997656,
gemini2.5-flash,distractor1:reasoning3,0.097779233,0.128399391,0.761524119,2027.158662,0.446432659,
gemini2.5-flash,occlusion1:distractor1:reasoning1,0.21608096,0.150437172,1.44E+00,2049.236061,0.151054412,
gemini2.5-flash,occlusion1:distractor1:reasoning2,-0.094149675,0.128257925,-7.34E-01,2028.904417,0.462993846,
gemini2.5-flash,occlusion1:distractor1:reasoning3,0.151582691,0.128399391,1.180556157,2027.158662,0.23791759,
,,,,,,,
gemini2.5-pro,(Intercept),9.995806698,0.169615162,58.93227094,28.36053745,3.27E-31,***
gemini2.5-pro,occlusion1,-1.111432016,0.152031094,-7.310557255,115.7107849,3.72E-11,***
gemini2.5-pro,distractor1,0.597194259,0.152031067,3.928106752,115.7106853,0.000146038,***
gemini2.5-pro,reasoning1,2.163456948,0.11738109,18.43105175,2180.060604,1.30E-70,***
gemini2.5-pro,reasoning2,-0.868680706,0.111466146,-7.793224527,2170.421476,1.00E-14,***
gemini2.5-pro,reasoning3,-0.623872139,0.111499675,-5.595282126,2171.26437,2.48E-08,***
gemini2.5-pro,occlusion1:distractor1,0.061803233,0.152031034,0.406517219,115.7108349,0.685113503,
gemini2.5-pro,occlusion1:reasoning1,0.419701394,0.117371068,3.575850501,2179.486986,0.000356691,***
gemini2.5-pro,occlusion1:reasoning2,-0.136069247,0.111465001,-1.220735165,2170.351095,0.222318914,
gemini2.5-pro,occlusion1:reasoning3,-0.123300092,0.111498458,-1.105845718,2171.18752,0.26891582,
gemini2.5-pro,distractor1:reasoning1,0.168879258,0.117370023,1.438861935,2179.436991,0.150333236,
gemini2.5-pro,distractor1:reasoning2,-0.157653585,0.111464767,-1.41E+00,2170.337947,0.157393673,
gemini2.5-pro,distractor1:reasoning3,0.004204515,0.111498423,0.03770919,2171.186365,0.969923015,
gemini2.5-pro,occlusion1:distractor1:reasoning1,-0.148587743,0.117377798,-1.265893083,2179.896078,0.205686633,
gemini2.5-pro,occlusion1:distractor1:reasoning2,0.132364696,0.111465385,1.187495975,2170.376502,0.235161988,
gemini2.5-pro,occlusion1:distractor1:reasoning3,0.012928875,0.111499446,0.115954609,2171.252869,0.907699239,
,,,,,,,
gemini3-flash,(Intercept),13.07952837,0.160267744,81.61048558,115.9934308,2.62E-104,***
gemini3-flash,occlusion1,-0.421980754,0.160267744,-2.632973704,115.9934308,0.009617191,**
gemini3-flash,distractor1,0.377834197,0.160267744,2.35751867,115.9934308,0.020072409,*
gemini3-flash,reasoning1,-0.272170638,0.102221485,-2.662558045,2217.588177,0.007810958,**
gemini3-flash,reasoning2,0.26728964,0.100578909,2.657511815,2215.607481,0.007928533,**
gemini3-flash,reasoning3,0.196401876,0.100346598,1.957235018,2215.466639,0.050445246,.
gemini3-flash,occlusion1:distractor1,-0.119585657,0.160267744,-0.746161731,115.9934308,0.457079294,
gemini3-flash,occlusion1:reasoning1,0.560113675,0.102221485,5.479412416,2217.588177,4.75E-08,***
gemini3-flash,occlusion1:reasoning2,-0.104165211,0.100578909,-1.035656598,2215.607481,0.300475398,
gemini3-flash,occlusion1:reasoning3,-0.243949488,0.100346598,-2.43E+00,2215.466639,0.015133193,*
gemini3-flash,distractor1:reasoning1,-0.388687648,0.102221485,-3.802406588,2217.588177,0.000147166,***
gemini3-flash,distractor1:reasoning2,0.121954454,0.100578909,1.21252512,2215.607481,0.225440705,
gemini3-flash,distractor1:reasoning3,0.068096045,0.100346598,6.79E-01,2215.466639,0.497456893,
gemini3-flash,occlusion1:distractor1:reasoning1,0.221466403,0.102221485,2.166534777,2217.588177,0.030376538,*
gemini3-flash,occlusion1:distractor1:reasoning2,-0.120875036,0.100578909,-1.201793065,2215.607481,0.229572151,
gemini3-flash,occlusion1:distractor1:reasoning3,-0.176344586,0.100346598,-1.757354893,2215.466639,0.078995441,.
,,,,,,,
gemini3-pro,(Intercept),9.327129429,0.335120903,27.83213269,5.145725653,8.24E-07,***
gemini3-pro,occlusion1,-0.34591475,0.136011502,-2.54327571,115.7887811,0.012300401,*
gemini3-pro,distractor1,-0.056914628,0.136009867,-0.418459551,115.783649,0.676386318,
gemini3-pro,reasoning1,1.133348301,0.072339016,15.66717883,1049.896415,7.13E-50,***
gemini3-pro,occlusion1:distractor1,0.018691074,0.136009891,0.137424372,115.7836297,0.890934061,
gemini3-pro,occlusion1:reasoning1,0.087866378,0.072336889,1.214682844,1049.884321,0.224760199,
gemini3-pro,distractor1:reasoning1,-0.014029089,0.072332233,-0.193953491,1049.851847,0.84624982,
gemini3-pro,occlusion1:distractor1:reasoning1,-0.017527798,0.072333635,-0.242318779,1049.864555,0.808580491,
